i:0, m:t, fps:0, rand:0.9571943879127502, p:0.0, time:6.94220232963562
i:1, m:t, fps:0.14399957043585174, rand:0.5167868137359619, p:0.0, time:13.479549407958984
i:2, m:t, fps:0.15297185186395493, rand:0.02700716257095337, p:0.0, time:16.340282440185547
i:3, m:t, fps:0.34955807527305055, rand:0.4766172766685486, p:0.0, time:19.315353870391846
i:4, m:t, fps:0.33612826891902764, rand:0.11683207750320435, p:0.0, time:22.334339141845703
i:5, m:t, fps:0.33123660125020515, rand:0.981277346611023, p:0.0, time:25.28900718688965
i:6, m:t, fps:0.3384479325025257, rand:0.5278980135917664, p:0.0, time:28.23811912536621
i:7, m:t, fps:0.3390850460508631, rand:0.4975581765174866, p:0.0, time:31.401569843292236
i:8, m:t, fps:0.31611248115916996, rand:0.49077099561691284, p:0.0, time:34.38448190689087
i:9, m:t, fps:0.33524345911005626, rand:0.49936842918395996, p:0.0, time:37.435322284698486
i:10, m:t, fps:0.3277711357400077, rand:0.7920469641685486, p:0.0, time:40.3962140083313
i:11, m:t, fps:0.3377391380529856, rand:0.7967239022254944, p:0.0, time:43.359330892562866
i:12, m:t, fps:0.33748670447842327, rand:0.8815524578094482, p:0.0, time:46.22101402282715
i:13, m:t, fps:0.34943922568413766, rand:0.5548274517059326, p:0.0, time:49.17768955230713
i:14, m:t, fps:0.3382196100579899, rand:0.035233914852142334, p:0.0, time:52.12668514251709
i:15, m:t, fps:0.33909828707141215, rand:0.9324098825454712, p:0.0, time:55.07900834083557
i:16, m:t, fps:0.3387090274756773, rand:0.7793394327163696, p:0.0, time:58.126112937927246
i:17, m:t, fps:0.3281873828217703, rand:0.4840012788772583, p:0.0, time:61.09601593017578
i:18, m:t, fps:0.33671092909023753, rand:0.8260753154754639, p:0.0, time:64.05581784248352
i:19, m:t, fps:0.33786153659148194, rand:0.1318674087524414, p:0.0, time:67.00891351699829
i:20, m:t, fps:0.3386275646110917, rand:0.45912790298461914, p:0.0, time:69.95997285842896
i:21, m:t, fps:0.33885668475629493, rand:0.5329976677894592, p:0.0, time:72.91033124923706
i:22, m:t, fps:0.338943954984006, rand:0.2693096399307251, p:0.0, time:75.86006999015808
i:23, m:t, fps:0.33900806027407715, rand:0.3476739525794983, p:0.0, time:78.91024255752563
i:24, m:t, fps:0.327858093540968, rand:0.40557634830474854, p:0.0, time:81.8739275932312
i:25, m:t, fps:0.3374173371351306, rand:0.9419728517532349, p:0.0, time:84.83050203323364
i:26, m:t, fps:0.33823141980855426, rand:0.3780198097229004, p:0.0, time:87.7808256149292
i:27, m:t, fps:0.338942065067796, rand:0.1531047224998474, p:0.0, time:90.84281396865845
i:28, m:t, fps:0.3265732992187335, rand:0.8495193123817444, p:0.0, time:93.81539368629456
i:29, m:t, fps:0.33641925227778385, rand:0.6392557621002197, p:0.0, time:96.76654314994812
i:30, m:t, fps:0.338854768437344, rand:0.2414989471435547, p:0.0, time:99.81258511543274
i:31, m:t, fps:0.32829414087525455, rand:0.19620829820632935, p:0.0, time:102.77799415588379
i:32, m:t, fps:0.3372222841302667, rand:0.9015454053878784, p:0.0, time:105.73749852180481
i:33, m:t, fps:0.33789134028089834, rand:0.32862794399261475, p:0.0, time:108.70026206970215
i:34, m:t, fps:0.33752486188556663, rand:0.6421908736228943, p:0.0, time:111.65942764282227
i:35, m:t, fps:0.3379326658747229, rand:0.8486039042472839, p:0.0, time:114.60878896713257
i:36, m:t, fps:0.3390561551571481, rand:0.6205683350563049, p:0.0, time:117.56271266937256
i:37, m:t, fps:0.3385344731287358, rand:0.9633874297142029, p:0.0, time:120.61208653450012
i:38, m:t, fps:0.3279345592015802, rand:0.4445565938949585, p:0.0, time:123.5810432434082
i:39, m:t, fps:0.33681516403171136, rand:0.5639179348945618, p:0.0, time:126.44551301002502
