i:0, m:s, fps:0, rand:0.31236106157302856, p:0.5, time:3.4068760871887207
i:1, m:s, fps:0.29334715336104333, rand:0.08009368181228638, p:0.5, time:5.696051120758057
i:2, m:s, fps:0.4369141761290689, rand:0.23658210039138794, p:0.5, time:5.8457934856414795
i:3, m:s, fps:0.4369141761290689, rand:0.20118606090545654, p:0.5, time:5.9939610958099365
i:4, m:t, fps:0.4369141761290689, rand:0.903083860874176, p:0.5, time:10.200551271438599
i:5, m:t, fps:0.665965676832113, rand:0.7968534827232361, p:0.5, time:15.474106073379517
i:6, m:s, fps:0.18962127094459044, rand:0.34401482343673706, p:0.5, time:15.754891157150269
i:7, m:s, fps:0.18962127094459044, rand:0.17885416746139526, p:0.5, time:16.035046339035034
i:8, m:s, fps:0.18962127094459044, rand:0.4041021466255188, p:0.5, time:16.315527200698853
i:9, m:s, fps:0.18962127094459044, rand:0.14523029327392578, p:0.5, time:16.59567356109619
i:10, m:s, fps:3.5670028525875375, rand:0.11964893341064453, p:0.5, time:16.876845598220825
i:11, m:t, fps:3.5670028525875375, rand:0.9163743257522583, p:0.5, time:18.3381564617157
i:12, m:t, fps:1.1476739123951019, rand:0.6151416301727295, p:0.5, time:19.897754192352295
i:13, m:t, fps:0.6412468580187581, rand:0.7162545323371887, p:0.5, time:21.34018301963806
i:14, m:t, fps:0.693272815477012, rand:0.6452680826187134, p:0.5, time:22.846900701522827
i:15, m:t, fps:0.6636306000453464, rand:0.7433121204376221, p:0.5, time:24.329647541046143
i:16, m:s, fps:0.6745818948844697, rand:0.15817201137542725, p:0.5, time:24.60581922531128
i:17, m:t, fps:0.6745818948844697, rand:0.6294041275978088, p:0.5, time:26.151399850845337
i:18, m:t, fps:1.097675146512916, rand:0.5335900783538818, p:0.5, time:27.68782615661621
i:19, m:s, fps:0.65088284135547, rand:0.13152539730072021, p:0.5, time:27.874706745147705
i:20, m:s, fps:0.65088284135547, rand:0.39534467458724976, p:0.5, time:28.174156427383423
i:21, m:t, fps:0.65088284135547, rand:0.5916535258293152, p:0.5, time:29.72289800643921
i:22, m:t, fps:1.4741698056795591, rand:0.9198441505432129, p:0.5, time:31.225480556488037
i:23, m:s, fps:0.6655875852315646, rand:0.15001726150512695, p:0.5, time:31.4779109954834
i:24, m:s, fps:0.6655875852315646, rand:0.2688891887664795, p:0.5, time:31.754810571670532
i:25, m:s, fps:0.6655875852315646, rand:0.11781179904937744, p:0.5, time:32.03599548339844
i:26, m:t, fps:0.6655875852315646, rand:0.9535056352615356, p:0.5, time:33.5907621383667
i:27, m:t, fps:1.6909965997063345, rand:0.8786884546279907, p:0.5, time:35.07279133796692
i:28, m:s, fps:0.6747713802482638, rand:0.44922810792922974, p:0.5, time:35.35506463050842
i:29, m:t, fps:0.6747713802482638, rand:0.9660563468933105, p:0.5, time:36.90001583099365
i:30, m:t, fps:1.0945606834323602, rand:0.7823454141616821, p:0.5, time:38.353163719177246
i:31, m:t, fps:0.6881438165555337, rand:0.5083614587783813, p:0.5, time:39.888914346694946
i:32, m:s, fps:0.6511332296832515, rand:0.12842482328414917, p:0.5, time:40.17474317550659
i:33, m:t, fps:0.6511332296832515, rand:0.6208786964416504, p:0.5, time:41.648430824279785
i:34, m:s, fps:1.136711956142468, rand:0.2456110119819641, p:0.5, time:41.92151379585266
i:35, m:t, fps:1.136711956142468, rand:0.7575827836990356, p:0.5, time:43.46288728713989
i:36, m:s, fps:1.1022338458498149, rand:0.417887806892395, p:0.5, time:43.74344229698181
i:37, m:t, fps:1.1022338458498149, rand:0.6213745474815369, p:0.5, time:45.16547966003418
i:38, m:s, fps:1.1747026486868595, rand:0.36834901571273804, p:0.5, time:45.44753623008728
i:39, m:s, fps:1.1747026486868595, rand:0.43592357635498047, p:0.5, time:45.72774577140808
i:40, m:t, fps:1.1747026486868595, rand:0.7517743110656738, p:0.5, time:47.295430183410645
i:41, m:s, fps:1.4085045479243021, rand:0.41450566053390503, p:0.5, time:47.57177948951721
i:42, m:t, fps:1.4085045479243021, rand:0.8385879993438721, p:0.5, time:49.089351654052734
i:43, m:s, fps:1.1148514077766547, rand:0.001734018325805664, p:0.5, time:49.371347188949585
i:44, m:t, fps:1.1148514077766547, rand:0.606305718421936, p:0.5, time:50.913939237594604
i:45, m:s, fps:1.0960993034759823, rand:0.025190532207489014, p:0.5, time:51.19483470916748
i:46, m:s, fps:1.0960993034759823, rand:0.2644609212875366, p:0.5, time:51.47077512741089
